event_id,member_id,event_type,event_timestamp,enrollment_date,points_earned,transaction_amount,accrual_reason,accrual_category,accrual_multiplier,points_redeemed,redemption_value,redemption_type,tier_status,tier_qualified_date,referred_by_member_id,referral_bonus_amount,ip_address,device_fingerprint,geo_country,geo_city,welcome_bonus_points,fraud_label,signal_embedded
EVT-00000020,MBR-000300,accrual,2023-12-07 23:48:00,2021-03-29,467.0,58.07,purchase,Travel,1.0,0.0,0.0,,Silver,,,0.0,239.31.109.103,DEV-938682,US,Denver,0.0,clean,
EVT-00000021,MBR-000901,redemption,2023-07-21 01:59:00,2022-06-16,0.0,0.0,,,1.0,859.0,8.59,cashback,Bronze,,,0.0,17.122.133.199,DEV-965554,US,New York,0.0,clean,
EVT-00000022,MBR-000707,accrual,2023-09-03 01:48:00,2020-01-01,296.0,33.91,purchase,Grocery,1.0,0.0,0.0,,Bronze,,,0.0,188.71.49.133,DEV-263342,US,Houston,0.0,clean,
EVT-00000023,MBR-000449,accrual,2024-05-23 09:50:00,2021-10-26,196.0,17.24,purchase,Gas,1.0,0.0,0.0,,Silver,,,0.0,164.115.53.174,DEV-410895,US,Miami,0.0,clean,
EVT-00000024,MBR-000565,accrual,2023-04-10 15:47:00,2021-04-20,204.0,24.4,purchase,Dining,1.0,0.0,0.0,,Bronze,,,0.0,114.184.143.44,DEV-420705,US,Atlanta,0.0,clean,
EVT-00000025,MBR-000342,accrual,2024-03-09 09:17:00,2022-06-29,64.0,5.84,purchase,Online,1.0,0.0,0.0,,Bronze,,,0.0,169.63.218.52,DEV-532660,US,Phoenix,0.0,clean,
EVT-00000026,MBR-000687,accrual,2024-08-21 03:41:00,2020-02-29,334.0,35.14,purchase,Retail,1.0,0.0,0.0,,Silver,,,0.0,154.75.97.33,DEV-588703,US,Miami,0.0,clean,
EVT-00000027,MBR-000860,accrual,2023-11-25 21:28:00,2020-06-01,74.0,6.61,purchase,Travel,1.0,0.0,0.0,,Silver,,,0.0,163.174.146.13,DEV-637229,US,Houston,0.0,clean,
EVT-00000028,MBR-PF002,accrual,2024-07-15 11:02:00,2023-01-15,12180.0,121.8,bonus,Online,10.0,0.0,0.0,,Gold,,,0.0,42.195.153.245,DEV-783314,US,New York,0.0,fraud,point_farming
EVT-00000029,MBR-000037,accrual,2023-09-14 22:05:00,2021-03-09,376.0,39.43,purchase,Retail,1.0,0.0,0.0,,Bronze,,,0.0,189.177.25.170,DEV-710583,US,Miami,0.0,clean,
EVT-00000030,MBR-AS002,accrual,2023-04-23 05:55:00,2022-01-01,229.0,50.82,purchase,Gas,1.0,0.0,0.0,,Silver,,,0.0,152.96.91.83,DEV-707141,GB,London,0.0,fraud,account_sharing
EVT-00000031,MBR-000531,accrual,2023-01-08 05:32:00,2022-07-13,189.0,16.04,purchase,Dining,1.0,0.0,0.0,,Bronze,,,0.0,247.116.182.68,DEV-991481,US,Boston,0.0,clean,
EVT-00000032,MBR-000516,accrual,2023-06-21 15:30:00,2022-11-05,428.0,41.93,purchase,Retail,1.0,0.0,0.0,,Bronze,,,0.0,131.110.68.13,DEV-709775,US,Los Angeles,0.0,clean,
EVT-00000033,MBR-000968,accrual,2023-04-22 04:19:00,2021-11-29,356.0,30.17,purchase,Gas,1.0,0.0,0.0,,Bronze,,,0.0,112.25.127.94,DEV-455749,US,Boston,0.0,clean,
EVT-00000034,MBR-000216,accrual,2024-09-26 08:09:00,2022-08-21,128.0,15.0,purchase,Travel,1.0,0.0,0.0,,Silver,,,0.0,30.158.225.44,DEV-282449,US,Los Angeles,0.0,clean,
EVT-00000035,MBR-000116,accrual,2023-08-14 13:19:00,2020-10-06,495.0,42.11,purchase,Travel,1.0,0.0,0.0,,Bronze,,,0.0,112.245.15.211,DEV-519955,US,Chicago,0.0,clean,
EVT-00000036,MBR-000557,redemption,2024-06-24 20:28:00,2020-06-28,0.0,0.0,,,1.0,2503.0,25.03,merchandise,Bronze,,,0.0,173.131.243.198,DEV-640050,US,Atlanta,0.0,clean,
EVT-00000037,MBR-000882,accrual,2024-03-29 09:31:00,2022-09-14,232.0,23.66,purchase,Dining,1.0,0.0,0.0,,Bronze,,,0.0,119.4.90.158,DEV-274329,US,Boston,0.0,clean,
EVT-00000038,MBR-000383,accrual,2024-01-18 23:15:00,2021-04-21,375.0,34.31,purchase,Gas,1.0,0.0,0.0,,Bronze,,,0.0,252.253.55.67,DEV-358588,US,Denver,0.0,clean,
EVT-00000039,MBR-000222,accrual,2024-10-06 18:51:00,2022-07-15,283.0,32.36,purchase,Retail,1.0,0.0,0.0,,Bronze,,,0.0,233.91.154.52,DEV-580906,US,Phoenix,0.0,clean,
EVT-00000040,MBR-TG003,accrual,2023-01-14 00:00:00,2023-01-01,185.0,30.18,purchase,Travel,1.0,0.0,0.0,,Silver,,,0.0,8.211.174.218,DEV-182271,US,Dallas,0.0,clean,
EVT-00000041,MBR-000863,accrual,2024-06-30 15:24:00,2020-04-11,215.0,22.17,purchase,Online,1.0,0.0,0.0,,Bronze,,,0.0,231.117.50.199,DEV-542179,US,Chicago,0.0,clean,
EVT-00000042,MBR-000520,accrual,2024-04-04 05:53:00,2021-07-14,203.0,18.58,purchase,Dining,1.0,0.0,0.0,,Bronze,,,0.0,100.26.47.158,DEV-959762,US,Phoenix,0.0,clean,
EVT-00000043,MBR-000184,accrual,2024-09-29 23:18:00,2021-06-29,183.0,19.29,purchase,Retail,1.0,0.0,0.0,,Bronze,,,0.0,84.74.71.215,DEV-816217,US,Denver,0.0,clean,
EVT-00000044,MBR-PF003,accrual,2023-02-03 11:19:00,2023-01-15,45090.0,450.9,bonus,Online,10.0,0.0,0.0,,Gold,,,0.0,239.242.80.4,DEV-106543,US,New York,0.0,fraud,point_farming
EVT-00000045,MBR-000806,accrual,2023-01-28 00:03:00,2021-07-25,170.0,16.04,purchase,Dining,1.0,0.0,0.0,,Bronze,,,0.0,180.144.88.116,DEV-672846,US,Seattle,0.0,clean,
EVT-00000046,MBR-000011,accrual,2024-05-18 15:38:00,2022-08-26,164.0,14.57,purchase,Dining,1.0,0.0,0.0,,Bronze,,,0.0,29.227.43.121,DEV-120152,US,New York,0.0,clean,
EVT-00000047,MBR-000115,accrual,2023-06-03 13:08:00,2022-08-15,333.0,30.64,purchase,Retail,1.0,0.0,0.0,,Silver,,,0.0,21.151.147.189,DEV-297709,US,Atlanta,0.0,clean,
EVT-00000048,MBR-RC001,return,2024-02-22 00:37:00,2023-01-01,-2000.0,-200.0,return_reversal,Retail,1.0,0.0,0.0,,Silver,,,0.0,128.37.143.39,DEV-142192,US,Boston,0.0,fraud,return_reaccrue_cycling
EVT-00000049,MBR-000209,accrual,2023-07-01 09:03:00,2022-11-28,349.0,30.21,purchase,Gas,1.0,0.0,0.0,,Silver,,,0.0,72.7.56.254,DEV-468608,US,Miami,0.0,clean,
EVT-00000050,MBR-000946,accrual,2024-04-06 14:08:00,2020-10-09,277.0,26.56,purchase,Grocery,1.0,0.0,0.0,,Silver,,,0.0,122.204.127.125,DEV-556479,US,Chicago,0.0,clean,
EVT-00000051,MBR-000513,accrual,2024-04-18 11:53:00,2020-07-02,457.0,56.13,purchase,Dining,1.0,0.0,0.0,,Silver,,,0.0,57.240.222.103,DEV-711901,US,Los Angeles,0.0,clean,
EVT-00000052,MBR-000088,redemption,2024-05-25 14:19:00,2021-08-26,0.0,0.0,,,1.0,1703.0,17.03,statement_credit,Bronze,,,0.0,57.207.55.7,DEV-725428,US,Miami,0.0,clean,
EVT-00000053,MBR-000643,accrual,2023-06-02 09:24:00,2022-03-08,98.0,11.84,purchase,Gas,1.0,0.0,0.0,,Silver,,,0.0,108.62.117.174,DEV-758213,US,Los Angeles,0.0,clean,
EVT-00000054,MBR-000724,accrual,2023-11-26 10:15:00,2021-01-09,319.0,34.43,purchase,Online,1.0,0.0,0.0,,Silver,,,0.0,161.100.115.70,DEV-891477,US,Denver,0.0,clean,
EVT-00000055,MBR-000994,accrual,2023-08-29 22:48:00,2021-08-10,366.0,32.48,purchase,Dining,1.0,0.0,0.0,,Bronze,,,0.0,129.58.223.142,DEV-356410,US,Boston,0.0,clean,
EVT-00000056,MBR-000611,accrual,2023-07-04 14:02:00,2020-04-26,421.0,35.69,purchase,Entertainment,1.0,0.0,0.0,,Bronze,,,0.0,196.111.172.33,DEV-719802,US,Denver,0.0,clean,
EVT-00000057,MBR-000364,accrual,2023-05-07 17:35:00,2021-09-05,73.0,7.61,purchase,Retail,1.0,0.0,0.0,,Bronze,,,0.0,175.73.135.38,DEV-130026,US,Denver,0.0,clean,
EVT-00000058,MBR-000245,redemption,2023-12-09 10:40:00,2022-06-12,0.0,0.0,,,1.0,1457.0,14.57,merchandise,Silver,,,0.0,182.136.238.24,DEV-314365,US,Seattle,0.0,clean,
EVT-00000059,MBR-000314,accrual,2023-01-16 10:46:00,2021-05-28,444.0,42.16,purchase,Dining,1.0,0.0,0.0,,Bronze,,,0.0,14.108.224.33,DEV-620329,US,Houston,0.0,clean,
EVT-00000060,MBR-000474,accrual,2024-02-02 18:05:00,2022-11-14,487.0,40.74,purchase,Grocery,1.0,0.0,0.0,,Silver,,,0.0,113.255.226.63,DEV-107775,US,Phoenix,0.0,clean,
EVT-00000061,MBR-000243,accrual,2023-09-15 21:34:00,2020-01-15,220.0,23.29,purchase,Online,1.0,0.0,0.0,,Bronze,,,0.0,252.119.84.184,DEV-924182,US,Houston,0.0,clean,
EVT-00000062,MBR-000090,redemption,2024-10-05 05:36:00,2022-01-05,0.0,0.0,,,1.0,1884.0,18.84,travel,Bronze,,,0.0,20.190.32.222,DEV-358991,US,Seattle,0.0,clean,
EVT-00000063,MBR-000536,accrual,2023-07-22 17:36:00,2021-12-15,96.0,11.75,purchase,Online,1.0,0.0,0.0,,Bronze,,,0.0,123.132.75.14,DEV-465828,US,Houston,0.0,clean,
EVT-00000064,MBR-000636,accrual,2024-05-12 23:57:00,2022-10-10,499.0,49.59,purchase,Retail,1.0,0.0,0.0,,Bronze,,,0.0,251.69.222.111,DEV-360203,US,New York,0.0,clean,
EVT-00000065,MBR-000795,accrual,2024-06-16 19:18:00,2021-01-25,102.0,10.76,purchase,Online,1.0,0.0,0.0,,Bronze,,,0.0,196.185.233.253,DEV-205919,US,Chicago,0.0,clean,
EVT-00000066,MBR-000728,accrual,2024-11-21 07:12:00,2022-09-27,366.0,38.08,purchase,Retail,1.0,0.0,0.0,,Bronze,,,0.0,223.255.192.193,DEV-568637,US,Seattle,0.0,clean,
EVT-00000067,MBR-000280,redemption,2023-09-07 01:47:00,2020-05-16,0.0,0.0,,,1.0,619.0,6.19,statement_credit,Bronze,,,0.0,22.244.182.1,DEV-158125,US,Houston,0.0,clean,
EVT-00000068,MBR-000848,accrual,2024-09-24 18:55:00,2020-09-23,375.0,39.91,purchase,Gas,1.0,0.0,0.0,,Bronze,,,0.0,226.117.171.193,DEV-934200,US,New York,0.0,clean,
EVT-00000069,MBR-000854,accrual,2024-12-11 15:27:00,2020-10-15,75.0,6.89,purchase,Retail,1.0,0.0,0.0,,Silver,,,0.0,223.19.159.172,DEV-764016,US,Boston,0.0,clean,
EVT-00000070,MBR-000020,accrual,2023-05-08 07:13:00,2021-06-24,396.0,37.07,purchase,Travel,1.0,0.0,0.0,,Bronze,,,0.0,129.164.204.229,DEV-443969,US,New York,0.0,clean,
EVT-00000071,MBR-000118,accrual,2024-03-05 01:24:00,2022-09-02,388.0,34.72,purchase,Online,1.0,0.0,0.0,,Bronze,,,0.0,195.128.175.184,DEV-737814,US,Denver,0.0,clean,
EVT-00000072,MBR-000263,accrual,2023-07-18 13:59:00,2022-04-22,436.0,40.15,purchase,Retail,1.0,0.0,0.0,,Silver,,,0.0,194.41.94.122,DEV-728878,US,Miami,0.0,clean,
EVT-00000073,MBR-000910,accrual,2023-06-18 02:16:00,2020-03-19,305.0,27.19,purchase,Dining,1.0,0.0,0.0,,Bronze,,,0.0,97.245.156.11,DEV-329451,US,Atlanta,0.0,clean,
EVT-00000074,MBR-000861,accrual,2024-12-04 01:02:00,2022-06-16,248.0,25.32,purchase,Travel,1.0,0.0,0.0,,Bronze,,,0.0,249.172.254.74,DEV-577318,US,Boston,0.0,clean,
EVT-00000075,MBR-000501,accrual,2023-02-08 07:27:00,2020-02-13,246.0,20.59,purchase,Grocery,1.0,0.0,0.0,,Bronze,,,0.0,181.229.113.117,DEV-902407,US,Phoenix,0.0,clean,
EVT-00000076,MBR-000974,accrual,2023-05-25 19:32:00,2022-03-08,187.0,21.47,purchase,Online,1.0,0.0,0.0,,Silver,,,0.0,171.120.212.67,DEV-104589,US,Miami,0.0,clean,
EVT-00000077,MBR-000804,accrual,2024-07-26 13:14:00,2022-09-25,328.0,33.7,purchase,Online,1.0,0.0,0.0,,Bronze,,,0.0,93.48.126.197,DEV-978223,US,Atlanta,0.0,clean,
EVT-00000078,MBR-000858,accrual,2024-06-23 04:18:00,2021-08-18,76.0,7.6,purchase,Online,1.0,0.0,0.0,,Silver,,,0.0,49.217.12.161,DEV-851317,US,Denver,0.0,clean,
EVT-00000079,MBR-000609,accrual,2023-07-31 00:43:00,2020-01-06,390.0,35.99,purchase,Gas,1.0,0.0,0.0,,Silver,,,0.0,120.50.120.35,DEV-143092,US,New York,0.0,clean,
EVT-00000080,MBR-000107,accrual,2024-11-25 06:14:00,2022-10-06,483.0,43.49,purchase,Retail,1.0,0.0,0.0,,Silver,,,0.0,39.138.249.170,DEV-541656,US,Miami,0.0,clean,
EVT-00000081,MBR-000654,accrual,2023-11-30 10:31:00,2022-07-18,208.0,22.89,purchase,Online,1.0,0.0,0.0,,Silver,,,0.0,241.244.232.26,DEV-935495,US,Seattle,0.0,clean,
EVT-00000082,MBR-000934,accrual,2024-04-28 12:32:00,2020-03-18,122.0,10.66,purchase,Gas,1.0,0.0,0.0,,Bronze,,,0.0,236.168.87.224,DEV-626254,US,Phoenix,0.0,clean,
EVT-00000083,MBR-000025,accrual,2024-07-28 03:10:00,2020-10-04,464.0,52.48,purchase,Entertainment,1.0,0.0,0.0,,Silver,,,0.0,59.127.18.153,DEV-683187,US,Denver,0.0,clean,
EVT-00000084,MBR-000341,accrual,2023-02-18 10:11:00,2022-05-07,220.0,18.88,purchase,Travel,1.0,0.0,0.0,,Bronze,,,0.0,38.226.71.245,DEV-541731,US,Phoenix,0.0,clean,
EVT-00000085,MBR-000406,accrual,2023-07-28 23:02:00,2022-06-30,213.0,25.99,purchase,Online,1.0,0.0,0.0,,Silver,,,0.0,184.22.215.79,DEV-672650,US,Houston,0.0,clean,
EVT-00000086,MBR-000637,accrual,2023-01-03 22:20:00,2020-09-19,394.0,44.66,purchase,Dining,1.0,0.0,0.0,,Bronze,,,0.0,130.61.127.3,DEV-470730,US,New York,0.0,clean,
EVT-00000087,MBR-000560,accrual,2024-05-03 23:51:00,2020-07-30,259.0,22.03,purchase,Dining,1.0,0.0,0.0,,Bronze,,,0.0,44.102.144.237,DEV-799371,US,Chicago,0.0,clean,
EVT-00000088,MBR-000234,accrual,2023-10-13 19:18:00,2020-07-13,437.0,43.32,purchase,Travel,1.0,0.0,0.0,,Silver,,,0.0,235.246.109.34,DEV-170106,US,Denver,0.0,clean,
EVT-00000089,MBR-000217,accrual,2023-02-04 03:43:00,2020-06-29,160.0,16.16,purchase,Gas,1.0,0.0,0.0,,Bronze,,,0.0,154.117.64.206,DEV-405552,US,Boston,0.0,clean,
EVT-00000090,MBR-000092,accrual,2023-04-30 12:42:00,2022-02-19,106.0,9.82,purchase,Dining,1.0,0.0,0.0,,Silver,,,0.0,245.77.198.40,DEV-636227,US,Chicago,0.0,clean,
EVT-00000091,MBR-CR003,redemption,2023-03-05 01:01:00,2022-06-01,134.0,37.71,purchase,Online,1.0,371.0,7.98,travel,Gold,,,0.0,51.165.3.53,DEV-544067,US,Miami,0.0,clean,
EVT-00000092,MBR-000822,accrual,2023-06-10 15:56:00,2020-11-06,367.0,32.16,purchase,Grocery,1.0,0.0,0.0,,Bronze,,,0.0,190.223.207.33,DEV-550082,US,Boston,0.0,clean,
EVT-00000093,MBR-000741,accrual,2023-04-11 14:56:00,2020-07-28,318.0,28.44,purchase,Travel,1.0,0.0,0.0,,Silver,,,0.0,157.210.104.222,DEV-682637,US,Boston,0.0,clean,
EVT-00000094,MBR-000058,redemption,2024-03-26 18:28:00,2021-06-27,0.0,0.0,,,1.0,2645.0,26.45,cashback,Silver,,,0.0,105.221.28.138,DEV-665397,US,Chicago,0.0,clean,
EVT-00000095,MBR-000890,accrual,2024-09-25 05:04:00,2022-10-09,224.0,23.76,purchase,Dining,1.0,0.0,0.0,,Silver,,,0.0,62.101.148.165,DEV-276600,US,Chicago,0.0,clean,
EVT-00000096,MBR-000235,accrual,2024-11-24 17:48:00,2022-03-01,184.0,16.34,purchase,Travel,1.0,0.0,0.0,,Silver,,,0.0,116.50.227.58,DEV-571024,US,Chicago,0.0,clean,
EVT-00000097,MBR-000614,accrual,2023-02-27 01:52:00,2022-01-18,330.0,35.67,purchase,Grocery,1.0,0.0,0.0,,Silver,,,0.0,5.50.134.206,DEV-919510,US,New York,0.0,clean,
EVT-00000098,MBR-000194,accrual,2023-12-13 02:49:00,2022-01-21,398.0,42.94,purchase,Online,1.0,0.0,0.0,,Silver,,,0.0,149.13.197.118,DEV-859711,US,Los Angeles,0.0,clean,
EVT-00000099,MBR-000762,accrual,2023-03-05 14:08:00,2020-11-02,241.0,25.44,purchase,Retail,1.0,0.0,0.0,,Silver,,,0.0,96.237.58.187,DEV-897719,US,Chicago,0.0,clean,
EVT-00000100,MBR-000651,accrual,2024-04-28 06:46:00,2022-02-14,205.0,22.32,purchase,Gas,1.0,0.0,0.0,,Bronze,,,0.0,69.134.167.3,DEV-940194,US,Chicago,0.0,clean,
EVT-00000101,MBR-000764,accrual,2024-06-21 09:31:00,2021-04-25,74.0,8.17,purchase,Online,1.0,0.0,0.0,,Silver,,,0.0,245.163.59.41,DEV-615214,US,Phoenix,0.0,clean,
EVT-00000102,MBR-000613,accrual,2023-08-15 19:15:00,2021-10-17,408.0,48.88,purchase,Gas,1.0,0.0,0.0,,Silver,,,0.0,142.126.103.186,DEV-856138,US,Los Angeles,0.0,clean,
EVT-00000103,MBR-000016,accrual,2024-03-12 10:48:00,2021-08-29,471.0,57.63,purchase,Retail,1.0,0.0,0.0,,Bronze,,,0.0,138.142.175.208,DEV-199573,US,Los Angeles,0.0,clean,
EVT-00000104,MBR-000073,accrual,2023-06-23 05:10:00,2021-11-02,99.0,8.28,purchase,Dining,1.0,0.0,0.0,,Bronze,,,0.0,99.203.252.161,DEV-121015,US,Los Angeles,0.0,clean,
EVT-00000105,MBR-000448,accrual,2023-04-18 16:02:00,2021-06-22,454.0,46.88,purchase,Entertainment,1.0,0.0,0.0,,Bronze,,,0.0,137.120.255.238,DEV-638879,US,Seattle,0.0,clean,
EVT-00000106,MBR-000712,accrual,2024-06-13 19:16:00,2020-03-13,97.0,9.48,purchase,Dining,1.0,0.0,0.0,,Bronze,,,0.0,103.25.140.114,DEV-440241,US,Denver,0.0,clean,
EVT-00000107,MBR-000185,accrual,2023-01-22 21:44:00,2021-11-09,68.0,6.35,purchase,Entertainment,1.0,0.0,0.0,,Bronze,,,0.0,191.198.244.46,DEV-279003,US,Denver,0.0,clean,
EVT-00000108,MBR-000946,accrual,2023-03-28 14:38:00,2020-10-09,453.0,49.35,purchase,Dining,1.0,0.0,0.0,,Bronze,,,0.0,77.100.146.151,DEV-742342,US,Miami,0.0,clean,
EVT-00000109,MBR-000527,accrual,2023-08-11 15:13:00,2021-05-13,479.0,49.43,purchase,Grocery,1.0,0.0,0.0,,Silver,,,0.0,149.154.31.202,DEV-519205,US,New York,0.0,clean,
EVT-00000110,MBR-000984,accrual,2023-02-11 00:53:00,2021-03-28,270.0,32.53,purchase,Retail,1.0,0.0,0.0,,Silver,,,0.0,125.27.241.212,DEV-478778,US,Miami,0.0,clean,
EVT-00000111,MBR-AS001,accrual,2024-04-02 06:02:00,2022-01-01,364.0,70.53,purchase,Online,1.0,0.0,0.0,,Silver,,,0.0,68.4.235.9,DEV-237533,US,Sydney,0.0,fraud,account_sharing
EVT-00000112,MBR-000697,redemption,2024-10-20 10:48:00,2020-07-15,0.0,0.0,,,1.0,698.0,6.98,merchandise,Bronze,,,0.0,2.44.70.219,DEV-767805,US,Atlanta,0.0,clean,
EVT-00000113,MBR-PF000,accrual,2023-04-08 18:29:00,2023-01-15,12928.0,430.94,bonus,Online,3.0,0.0,0.0,,Gold,,,0.0,250.54.139.114,DEV-757529,US,New York,0.0,fraud,point_farming
EVT-00000114,MBR-000758,accrual,2023-11-07 01:35:00,2020-12-11,204.0,17.39,purchase,Grocery,1.0,0.0,0.0,,Bronze,,,0.0,52.106.223.234,DEV-784739,US,New York,0.0,clean,
EVT-00000115,MBR-000073,accrual,2023-09-05 20:32:00,2021-11-02,352.0,34.34,purchase,Entertainment,1.0,0.0,0.0,,Bronze,,,0.0,34.147.102.31,DEV-177688,US,Phoenix,0.0,clean,
EVT-00000116,MBR-PF000,accrual,2023-11-27 10:30:00,2023-01-15,19186.0,191.86,bonus,Online,10.0,0.0,0.0,,Gold,,,0.0,148.223.197.189,DEV-791353,US,New York,0.0,fraud,point_farming
EVT-00000117,MBR-000471,redemption,2023-03-10 03:26:00,2020-03-28,0.0,0.0,,,1.0,1688.0,16.88,gift_card,Bronze,,,0.0,197.73.4.250,DEV-866727,US,Chicago,0.0,clean,
EVT-00000118,MBR-000017,accrual,2024-07-10 02:43:00,2022-10-24,217.0,18.71,purchase,Grocery,1.0,0.0,0.0,,Silver,,,0.0,33.50.140.38,DEV-778201,US,Boston,0.0,clean,
EVT-00000119,MBR-RC002,accrual,2023-06-03 19:50:00,2023-01-01,2000.0,200.0,purchase,Retail,1.0,0.0,0.0,,Silver,,,0.0,248.52.98.184,DEV-866013,US,Boston,0.0,clean,
EVT-00000120,MBR-000287,redemption,2023-11-25 16:34:00,2022-11-18,0.0,0.0,,,1.0,1109.0,11.09,statement_credit,Bronze,,,0.0,5.237.8.74,DEV-850299,US,Atlanta,0.0,clean,
EVT-00000121,MBR-000055,accrual,2024-09-16 04:29:00,2021-08-11,441.0,43.4,purchase,Dining,1.0,0.0,0.0,,Bronze,,,0.0,193.20.7.214,DEV-102223,US,Phoenix,0.0,clean,
EVT-00000122,MBR-000457,accrual,2023-08-01 18:26:00,2021-10-30,91.0,7.97,purchase,Travel,1.0,0.0,0.0,,Silver,,,0.0,214.50.162.213,DEV-925865,US,Phoenix,0.0,clean,
EVT-00000123,MBR-000546,accrual,2024-09-14 18:07:00,2020-10-29,241.0,22.67,purchase,Retail,1.0,0.0,0.0,,Bronze,,,0.0,202.3.52.250,DEV-244787,US,Los Angeles,0.0,clean,
EVT-00000124,MBR-000080,accrual,2024-01-26 04:49:00,2020-09-08,122.0,13.44,purchase,Retail,1.0,0.0,0.0,,Bronze,,,0.0,236.214.205.250,DEV-914748,US,New York,0.0,clean,
EVT-00000125,MBR-000613,accrual,2024-07-16 02:35:00,2021-10-17,61.0,6.1,purchase,Retail,1.0,0.0,0.0,,Bronze,,,0.0,216.27.6.2,DEV-504326,US,Chicago,0.0,clean,
EVT-00000126,MBR-000128,accrual,2024-03-10 02:10:00,2022-05-27,374.0,40.5,purchase,Gas,1.0,0.0,0.0,,Bronze,,,0.0,113.89.154.174,DEV-433623,US,New York,0.0,clean,
